issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,This is an administrative or permissioned account-management request. Use the retrieved admin documentation if you have the required role; otherwise I am escalating because support needs to verify permissions before account changes.,general_support,escalated,product_issue,[ADMIN_ACTION] Administrative changes depend on authenticated permissions.; top_chunk=claude_03006_6ce5ec6119; product_area_snapped=Claude API and Console->general_support
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"This involves a score, grading, integrity result, or assessment outcome dispute. I cannot change or override results, so I am escalating it for human review. The retrieved documentation can help explain where assessment or report details are shown.",screen,escalated,product_issue,[SCORE_DISPUTE] Score disputes are sensitive and require human review.; top_chunk=hackerrank_00923_f782a5cfb9; product_area_snapped=Integrations->screen
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"This looks like a refund, chargeback, duplicate charge, or transaction dispute. I cannot resolve or reverse payments directly, so I am escalating it to human support. Use the dispute-resolution guidance in the retrieved documentation for the next steps. Most relevant retrieved document: Get support > FAQ > I have concerns about a place where I used my Visa card. What should I do?.",travel_support,escalated,product_issue,[PAYMENT_DISPUTE] Payment disputes require review and cannot be completed by the agent.; top_chunk=visa_06144_e050264cb1; product_area_snapped=Get support->travel_support
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"This looks like a refund, chargeback, duplicate charge, or transaction dispute. I cannot resolve or reverse payments directly, so I am escalating it to human support. Use the dispute-resolution guidance in the retrieved documentation for the next steps. Most relevant retrieved document: Subscriptions, Payments, and Billing > Purchase Mock Interview Credits > Refund policy.",screen,escalated,product_issue,"[PAYMENT_DISPUTE] Payment disputes require review and cannot be completed by the agent.; top_chunk=hackerrank_00798_7abe213a16; product_area_snapped=Subscriptions, Payments, and Billing->screen"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"If your payment fails, refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. For further assistance, you can contact help@hackerrank.com.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.99; verifier=pass; product_area_snapped=Payments and Billing->screen
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,I cannot answer it based on the docs.,screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.91; verifier=pass; product_area_snapped=hackerrank->screen
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The Apply tab has been removed following its deprecation, which is why you cannot see it. You can still access coding challenges under the Prepare tab for practice.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.84; verifier=pass; product_area_snapped=HackerRank->screen
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If you are experiencing issues with submissions not working on HackerRank, please try the following steps: Close the challenge window and reopen it using the same challenge link, open the challenge in another supported browser (latest versions of Chrome, Firefox, or Edge), and ensure your internet connection is stable. If the issue persists, consider contacting HackerRank support at help@hackerrank.com for further assistance.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.99; verifier=pass; product_area_snapped=HackerRank->screen
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,I cannot answer it based on the docs.,screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.89; verifier=pass; product_area_snapped=hackerrank->screen
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule an interview, you need to log in to your HackerRank for Work account, go to the Interviews section, select the interview you want to reschedule, and update the date and time. After making the changes, click Save and Send Email to notify all participants of the updated schedule.",screen,replied,product_issue,[NORMAL_FAQ] grounded generation; retrieval_score=0.78; verifier=pass; product_area_snapped=HackerRank for Work->screen
